Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer,Result Train,Validation,Test,Test Loss,Time (min),Epoch
Inception,No,Full,0.001,1,SGD,0.2215,0.3768,0.3465,2.486,13,50
Inception,No,½,0.001,1,SGD,0.9982,0.9662,0.9257,0.2564,16,50
Inception,No,None,0.001,1,SGD,0.9988,0.9952,0.9901,0.05131,28,50
Inception,No,Full,0.0001,1,SGD,0.0714,0.0918,0.0891,2.936,14,50
Inception,No,½,0.0001,1,SGD,0.6751,0.7536,0.6832,1.429,16,50
Inception,No,None,0.0001,1,SGD,0.7544,0.8068,0.797,1.212,28,50
Inception,No,Full,0.001,2,SGD,0.2004,0.3285,0.3713,2.47,15,50
Inception,No,½,0.001,2,SGD,0.9947,0.9758,0.9505,0.1887,16,50
Inception,No,None,0.001,2,SGD,0.9988,0.9903,0.9703,0.07052,28,50
Inception,No,Full,0.0001,2,SGD,0.0711,0.1111,0.1139,2.914,14,50
Inception,No,½,0.0001,2,SGD,0.4357,0.6667,0.6485,1.89,16,50
Inception,No,None,0.0001,2,SGD,0.537,0.6812,0.6287,1.842,29,50
Inception,No,Full,0.001,1,Adam,0.619,0.7005,0.6634,1.236,14,50
Inception,No,½,0.001,1,Adam,0.9903,0.9855,0.9851,0.04975,3,11
Inception,No,None,0.001,1,Adam,0.9882,0.9952,0.9901,0.04759,9,16
Inception,No,Full,0.0001,1,Adam,0.4592,0.5604,0.5545,1.9,14,50
Inception,No,½,0.0001,1,Adam,1,0.9855,0.9653,0.1021,6,19
Inception,No,None,0.0001,1,Adam,0.9991,0.9952,1,0.004126,11,19
Inception,No,Full,0.001,2,Adam,0.6143,0.7343,0.7079,1.012,9,31
Inception,No,½,0.001,2,Adam,0.9962,0.9903,0.9901,0.03443,5,17
Inception,No,None,0.001,2,Adam,0.9589,0.971,0.9851,0.04186,6,10
Inception,No,Full,0.0001,2,Adam,0.5896,0.7053,0.6881,1.137,14,50
Inception,No,½,0.0001,2,Adam,0.995,0.9758,0.9505,0.1698,3,11
Inception,No,None,0.0001,2,Adam,0.9941,1,0.9901,0.03589,8,14
Xception,Yes,Full,0.001,1,SGD,0.5349,0.6551,0.6337,1.708,88,50
