model_id,loss,accuracy
f_1,3.4536349773406982,0.12999999523162842
f_2,3.5726397037506104,0.11999999731779099
f_3,3.4227304458618164,0.10999999940395355
f_4,0.5361473560333252,0.875
f_5,0.9501590728759766,0.7300000190734863
f_6,0.8270758986473083,0.8600000143051147
f_7,1.3929798603057861,0.6800000071525574
f_8,1.1264206171035767,0.7250000238418579
f_9,1.2227421998977661,0.6449999809265137
f_10,3.5954413414001465,0.14499999582767487
f_11,2.2713818550109863,0.32499998807907104
f_12,2.595564842224121,0.20499999821186066
f_13,0.5155773758888245,0.8650000095367432
f_14,0.7298458814620972,0.8100000023841858
f_15,1.0397465229034424,0.7400000095367432
f_16,1.7161955833435059,0.625
f_17,1.3189753293991089,0.7799999713897705
f_18,0.6760739684104919,0.824999988079071
f_19,2.449512004852295,0.3499999940395355
f_20,2.9713399410247803,0.3400000035762787
f_21,2.4049270153045654,0.375
f_22,1.3284270763397217,0.625
f_23,0.5968517065048218,0.8799999952316284
f_24,1.0333993434906006,0.675000011920929
f_25,1.6557285785675049,0.7250000238418579
f_26,1.7673859596252441,0.6549999713897705
f_27,0.8268214464187622,0.7749999761581421
