model_id,loss,accuracy
1,0.5361473560333252,0.875
2,0.8270757794380188,0.8600000143051147
3,0.7798053026199341,0.8299999833106995
4,0.9616477489471436,0.6899999976158142
5,0.7436144351959229,0.8299999833106995
6,0.9501590728759766,0.7300000190734863
7,1.7891372442245483,0.5199999809265137
8,1.2940531969070435,0.6949999928474426
9,1.3929800987243652,0.6800000071525574
10,1.4807029962539673,0.6600000262260437
11,0.6760739684104919,0.824999988079071
12,0.5155773162841797,0.8650000095367432
13,0.7298458814620972,0.8100000023841858
14,1.0397465229034424,0.7400000095367432
15,0.48575302958488464,0.8399999737739563
16,1.7161957025527954,0.625
17,1.3189752101898193,0.7799999713897705
18,1.7190860509872437,0.6449999809265137
19,1.9366705417633057,0.6499999761581421
20,1.774933934211731,0.699999988079071
21,0.5968517065048218,0.8799999952316284
22,1.0333993434906006,0.675000011920929
23,0.716990053653717,0.8199999928474426
24,0.7775129079818726,0.8399999737739563
25,0.8857185244560242,0.7549999952316284
26,1.655728816986084,0.7250000238418579
27,0.5197161436080933,0.8799999952316284
28,1.7673861980438232,0.6549999713897705
29,1.3284273147583008,0.625
30,1.4116195440292358,0.6150000095367432
