epoch,accuracy,loss,val_accuracy,val_loss
0,0.469565212726593,1.9584227800369263,0.6917874217033386,1.3852041959762573
1,0.6581668853759766,1.3025550842285156,0.7594202756881714,1.0656702518463135
2,0.7035840153694153,1.0892773866653442,0.7942029237747192,0.9101603031158447
3,0.7321974039077759,0.9707909226417542,0.8231884241104126,0.8083794116973877
4,0.7504112720489502,0.8942904472351074,0.8328502178192139,0.7458723783493042
5,0.7626909613609314,0.8382819294929504,0.8405796885490417,0.6916143298149109
6,0.7745593190193176,0.7937158942222595,0.853140115737915,0.6510792970657349
7,0.7807872891426086,0.7613166570663452,0.852173924446106,0.6314551830291748
8,0.7854288816452026,0.7350884079933167,0.8666666746139526,0.5956876277923584
9,0.7934194803237915,0.7071602940559387,0.8628019094467163,0.5800899863243103
10,0.7996474504470825,0.6906368732452393,0.8666666746139526,0.5643733739852905
11,0.8002350330352783,0.6698194742202759,0.8724637627601624,0.5420796275138855
12,0.8063454627990723,0.6531850099563599,0.8695651888847351,0.5347384214401245
13,0.8087543845176697,0.640133798122406,0.8676328659057617,0.5222359299659729
14,0.8093419671058655,0.6351964473724365,0.8724637627601624,0.5145515203475952
15,0.8122209310531616,0.6261836886405945,0.8734299540519714,0.4966624677181244
16,0.8173325657844543,0.6113460063934326,0.8792270421981812,0.49488335847854614
17,0.8175675868988037,0.6061989068984985,0.8763285279273987,0.4985106289386749
18,0.8214453458786011,0.5922030210494995,0.8811594247817993,0.48646268248558044
19,0.8189189434051514,0.5952086448669434,0.8830918073654175,0.47380349040031433
20,0.8221504092216492,0.5832793712615967,0.8840579986572266,0.4682106673717499
21,0.8256168961524963,0.5764036774635315,0.8821256160736084,0.4647176265716553
22,0.8236780166625977,0.5743235349655151,0.8850241303443909,0.4555446207523346
23,0.8273795247077942,0.5612785816192627,0.8859903216362,0.45024582743644714
24,0.8297297358512878,0.5547630786895752,0.8850241303443909,0.4591781198978424
25,0.8337250351905823,0.5483865141868591,0.8850241303443909,0.4468989074230194
26,0.8344300985336304,0.5481677055358887,0.8850241303443909,0.44620877504348755
27,0.8337250351905823,0.5426129698753357,0.886956512928009,0.4402412176132202
28,0.8411868214607239,0.5290679931640625,0.8927536010742188,0.4320981204509735
29,0.8344300985336304,0.5360251069068909,0.8908212780952454,0.43265700340270996
30,0.8375440835952759,0.5304495692253113,0.8937197923660278,0.42233002185821533
31,0.8402467966079712,0.5213773846626282,0.8917874693870544,0.42538905143737793
32,0.8351938724517822,0.5290748476982117,0.886956512928009,0.42893052101135254
33,0.8342538475990295,0.5244260430335999,0.8888888955116272,0.42455345392227173
34,0.8421856760978699,0.5165735483169556,0.8898550868034363,0.4239055812358856
35,0.8402467966079712,0.5099976658821106,0.8859903216362,0.4261532723903656
